service_id,date,exception_type
1001,20210809,1
1001,20210810,1
1001,20210811,1
901,20210812,1
901,20210813,1
1001,20210816,1
1001,20210817,1
1001,20210818,1
901,20210819,1
901,20210820,1
1001,20210823,1
1001,20210824,1
1001,20210825,1
901,20210826,1
901,20210827,1
1001,20210830,1
1001,20210831,1
1001,20210901,1
901,20210902,1
901,20210903,1
3,20210906,1
1,20210906,2
1001,20210907,1
1001,20210908,1
901,20210909,1
901,20210910,1
1001,20210913,1
1001,20210914,1
1001,20210915,1
901,20210916,1
901,20210917,1
1001,20210920,1
1001,20210921,1
1001,20210922,1
901,20210923,1
901,20210924,1
1001,20210927,1
1001,20210928,1
1001,20210929,1
901,20210930,1
901,20211001,1
1001,20211004,1
1001,20211005,1
1001,20211006,1
901,20211007,1
901,20211008,1
1001,20211011,1
1001,20211012,1
1001,20211013,1
901,20211014,1
901,20211015,1
1001,20211018,1
1001,20211019,1
1001,20211020,1
901,20211021,1
901,20211022,1
1001,20211025,1
1001,20211026,1
1001,20211027,1
901,20211028,1
901,20211029,1
1001,20211101,1
1001,20211102,1
1001,20211103,1
901,20211104,1
901,20211105,1
1001,20211108,1
1001,20211109,1
1001,20211110,1
901,20211111,1
901,20211112,1
