stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3,PKSP(NE),Park/Speedway,N PARK AVE & E SPEEDWAY BLVD,32.236753,-110.956685,,,,,,0
4,GLCA(SE),Glenn/Campbell,E GLENN ST & N CAMPBELL AV,32.2575,-110.94317,,,,,,0
5,GLAV(SE),Glenn/Alvernon,E GLENN ST & N ALVERNON WAY,32.257785,-110.909233,,,,,,0
8,GLAV(NW),Glenn/Alvernon,E GLENN ST & N HASKELL DR,32.257945,-110.910127,,,,,,0
9,GLCA(NE),Glenn/Campbell,E GLENN ST & N CAMPBELL AV,32.257615,-110.943542,,,,,,0
16,CH22(SW),Cherrybell/22nd St,S CHERRYBELL STRAV & E 22ND ST,32.205836,-110.947935,,,,,,0
18,BUMC(IN),BUMC/South Campus,0 BANNER-UMC SOUTH CAMPUS,32.176908,-110.93048,,,,,,0
20,ESPA(SE),Escalante/Pantano,E ESCALANTE RD & S PANTANO RD,32.17723,-110.823121,,,,,,0
21,STKO(NW),Stella/Kolb,E STELLA RD & S KOLB RD,32.184746,-110.841452,,,,,,0
22,WIBR(SW),Wilmot/Broadway,S WILMOT RD & E BROADWAY BLVD,32.220401,-110.8581,,,,,,0
23,5SAV(NW),5th St/Alvernon,E 5TH ST & N ALVERNON WAY,32.228973,-110.91003,,,,,,0
25,RTC(004),Downtown Ronstadt Center,W RONSTADT TRANSIT CENTER DR,32.222583,-110.968115,,,,,,0
28,RTC(007),Downtown Ronstadt Center,W RONSTADT TRANSIT CENTER DR,32.222483,-110.968236,,,,,,0
29,6SCA(SE),6th St/Campbell,E 6TH ST & N CAMPBELL AVE,32.227727,-110.942714,,,,,,0
30,5SAV(SE),5th St/Alvernon,E 5TH ST & N ALVERNON WAY,32.228805,-110.909321,,,,,,0
32,STKO(SE),Stella/Kolb,E STELLA RD & S KOLB RD,32.184599,-110.840199,,,,,,0
34,PCCE(ES),Pima College East Campus,S FRED ENKE DR & E PCC EAST PL,32.16527,-110.815641,,,,,,0
35,HAGL(NE),Harrison/Golf Links,S HARRISON RD & E GOLF LINKS RD,32.192592,-110.789623,,,,,,0
40,SPAL(NW),Speedway/Alvernon,E SPEEDWAY BLVD & N ALVERNON WAY,32.236315,-110.910143,,,,,,0
41,SPCA(NW),Speedway/Campbell,E SPEEDWAY BLVD & N WARREN AVE,32.236178,-110.944438,,,,,,0
42,6APE(SE),6th Av/Pennington,N 6TH AVE & W RONSTADT TRANSIT CENTER DR,32.223375,-110.968582,,,,,,0
45,SPCA(SE),Speedway/Campbell,E SPEEDWAY BLVD & N CAMPBELL AVE,32.23597,-110.94348,,,,,,0
46,SPAL(SE),Speedway/Alvernon,E SPEEDWAY BLVD & N ALVERNON WAY,32.236108,-110.909158,,,,,,0
47,SPWI(SE),Speedway/Wilmot,E SPEEDWAY BLVD & N WILMOT RD,32.235564,-110.857491,,,,,,0
48,KOGL(NE),Kolb/Golf Links,S KOLB RD & E GOLF LINKS RD,32.192317,-110.840857,,,,,,0
51,HAGL(NW),Harrison/Golf Links,S HARRISON RD & E GOLF LINKS RD,32.192908,-110.789843,,,,,,0
53,PIAL(NW),Pima/Alvernon,E PIMA ST & N ROSEMARY DR,32.243463,-110.909953,,,,,,0
54,PIAL(SE),Pima/Alvernon,E PIMA ST & N ALVERNON WAY,32.243415,-110.909335,,,,,,0
57,PKBI(NE),Park/Bilby,S PARK AVE & E MOSSMAN RD,32.141662,-110.956112,,,,,,0
58,PKAJ(NE),Park/Ajo,S PARK AVE & E AJO WAY,32.178281,-110.956155,,,,,,0
60,EU6S(NE),Euclid/6th St,N EUCLID AVE,32.228288,-110.959375,,,,,,0
64,FL1A(SE),Fort Lowell/1st Av,E FORT LOWELL RD & N 1ST AVE,32.264779,-110.960646,,,,,,0
65,EU6S(SW),Euclid/6th St,N EUCLID AVE & E 6TH ST,32.227424,-110.959551,,,,,,0
67,PKAJ(NW),Park/Ajo(NW),S PARK AVE & E AJO WAY,32.178865,-110.956384,,,,,,0
70,22WI(NW),22nd St/Wilmot,E 22ND ST & S WILMOT RD,32.206884,-110.858354,,,,,,0
71,22AV(SE),22nd St/Alvernon,E 22ND ST & S ALVERNON WAY,32.20689,-110.909141,,,,,,0
74,22AV(NW),22nd St/Alvernon,E 22ND ST & S ALVERNON WAY,32.207114,-110.910221,,,,,,0
75,22WI(SE),22nd St/Wilmot,E 22ND ST & S WILMOT RD,32.20658,-110.857583,,,,,,0
76,6A29(NE),6th Av/29th St,S 6TH AVE & E 29TH ST,32.200089,-110.968342,,,,,,0
