from_stop_id,to_stop_id,transfer_type,min_transfer_time
16183,16102,,
16175,11464,,
184,116,,
15933,14203,,
12570,12596,,
120,125,,
11161,11181,,
70,13206,,
11924,41,,
16204,14516,,
14204,14200,,
11180,12921,,
13604,13428,,
11866,13316,,
13530,11129,,
13752,12407,,
13947,12885,,
13711,13837,,
11362,11469,,
12499,76,,
13385,14452,,
14881,14884,,
14219,14218,,
14591,14503,,
13355,252,,
12633,14221,,
12494,16100,,
13748,12096,,
14230,11065,,
12098,11266,,
11466,11365,,
16180,14212,,
15988,12157,,
11171,10858,,
213,12640,,
14484,14483,,
13447,11561,,
14224,15973,,
11167,11177,,
14824,15973,,
15973,14218,,
10943,11030,,
25,14212,,
11166,11368,,
11946,14618,,
15933,10858,,
15101,45,,
12763,13714,,
12079,13370,,
331,13032,,
12152,334,,
12493,10861,,
259,10996,,
16220,16216,,
14218,14229,,
13098,16013,,
10932,11561,,
15933,129,,
14823,12116,,
11129,13530,,
16212,11526,,
42,14516,,
13409,261,,
13469,13440,,
13675,13686,,
11183,11881,,
10861,16181,,
11018,292,,
198,197,,
338,13032,,
14218,14223,,
11771,14284,,
14240,14235,,
11525,42,,
11018,10969,,
11749,143,,
11888,12794,,
12986,13872,,
14456,11780,,
14294,14218,,
14737,14738,,
10954,12659,,
14196,12434,,
13441,197,,
12025,10861,,
14230,14227,,
13711,30,,
13370,12268,,
13098,14242,,
12595,12596,,
11171,14203,,
14204,10858,,
12143,11407,,
12910,172,,
13367,14864,,
14591,14808,,
25,129,,
16262,16204,,
129,14212,,
10860,16009,,
13956,11844,,
82,14499,,
65,60,,
12499,198,,
13500,13410,,
13429,10925,,
14223,14227,,
12492,14516,,
11170,11525,,
25,10858,,
14483,14572,,
16262,129,,
11918,11886,,
14211,10858,,
14018,14017,,
13677,12587,,
11464,14900,,
14823,14230,,
11739,11880,,
11815,11814,,
14761,12446,,
16189,12024,,
13519,13559,,
11425,11375,,
178,13619,,
13384,14544,,
12497,13469,,
128,117,,
12763,13833,,
13079,10925,,
18,10893,,
14823,14224,,
14336,120,,
11848,11925,,
129,16262,,
12571,12594,,
14977,11736,,
266,13316,,
11827,11760,,
11065,12633,,
42,14211,,
13474,10860,,
11739,11848,,
249,11194,,
10922,14018,,
13856,11455,,
14203,10860,,
171,13619,,
13559,13519,,
11065,14230,,
14368,11305,,
16212,16177,,
14204,14211,,
14217,14210,,
16009,14206,,
14204,11171,,
11321,15988,,
13616,106,,
156,12500,,
342,12243,,
42,14203,,
14503,14589,,
16177,16009,,
13390,11129,,
91,76,,
10984,107,,
12195,15968,,
12987,13952,,
16187,11727,,
12852,304,,
16189,12494,,
12095,13747,,
14372,47,,
11918,11919,,
16239,16244,,
13119,13653,,
14577,12743,,
10861,14200,,
107,121,,
14216,42,,
13675,12586,,
12590,11716,,
14486,173,,
14761,11525,,
13285,12021,,
283,11359,,
14017,10923,,
11845,11742,,
11172,11526,,
124,107,,
14823,14219,,
14212,10858,,
11914,16120,,
11373,12087,,
10858,14205,,
42,14212,,
14516,10861,,
16009,129,,
11054,10938,,
21,32,,
261,13500,,
14201,14200,,
11829,11758,,
11001,54,,
12542,11976,,
42,129,,
11099,16047,,
14206,14217,,
41,11881,,
13316,266,,
14212,10861,,
12025,14516,,
13284,13469,,
12897,14130,,
16175,12446,,
42,16262,,
186,14503,,
13286,14018,,
13747,12096,,
14435,213,,
14204,14516,,
16100,12494,,
342,12153,,
14237,14235,,
16013,14241,,
11185,16223,,
13571,248,,
10925,13079,,
14224,14294,,
16161,12021,,
11177,11167,,
42,10861,,
14210,14200,,
13733,12391,,
125,14336,,
12766,12608,,
11888,12889,,
311,12851,,
14516,42,,
10945,11048,,
11948,11962,,
14951,16161,,
12025,16180,,
16178,11171,,
11368,11177,,
16178,14217,,
25,15933,,
16128,14866,,
10861,129,,
11214,11129,,
13856,10859,,
14218,14221,,
10895,10942,,
42,10858,,
12732,12338,,
14203,14200,,
16185,13080,,
13984,11108,,
14128,14367,,
12285,12114,,
11099,231,,
186,14808,,
12094,11426,,
13714,12609,,
11715,11716,,
11198,11142,,
14516,14206,,
14205,14200,,
14220,14224,,
11252,13362,,
10948,10949,,
13954,11187,,
14220,14218,,
15015,16007,,
14499,82,,
117,58,,
16111,65,,
13698,16182,,
64,343,,
14206,14516,,
11810,14456,,
16072,16191,,
12595,12594,,
13674,13686,,
16047,231,,
16216,16221,,
14206,15933,,
14212,14206,,
11813,11777,,
11037,12659,,
11525,12446,,
91,198,,
13474,12025,,
11972,11302,,
13404,13510,,
16187,12466,,
14229,14224,,
13081,11180,,
14200,14212,,
11030,10943,,
14864,10922,,
14293,14221,,
14456,14455,,
14938,14555,,
13510,13403,,
14203,14210,,
11844,13868,,
13474,14204,,
14223,14755,,
16071,16190,,
16200,187,,
16178,14201,,
12633,12709,,
11146,11194,,
14229,14230,,
16262,16177,,
14606,11782,,
11002,46,,
13010,200,,
11768,14117,,
14221,14229,,
13481,13079,,
14495,16056,,
10922,10864,,
13054,12707,,
14511,12489,,
13631,12813,,
16186,11182,,
11171,15933,,
10925,13481,,
11194,11146,,
16204,16262,,
12094,11375,,
12786,14130,,
11712,192,,
14983,16081,,
16179,11455,,
16019,21,,
14820,11946,,
12018,198,,
14294,14229,,
60,11735,,
11333,148,,
13871,13258,,
12021,13469,,
14864,14017,,
14212,14216,,
15101,11881,,
11526,11172,,
11525,10859,,
11884,12414,,
12822,13828,,
14989,14377,,
74,139,,
13686,12434,,
14823,12542,,
14544,12343,,
12910,177,,
13525,86,,
12492,14203,,
14130,12786,,
11275,11293,,
12779,12832,,
12912,177,,
11785,11805,,
14206,28,,
16180,14210,,
13014,331,,
12589,11715,,
14225,14755,,
14211,10860,,
25,28,,
14240,16013,,
13081,13082,,
13511,47,,
14417,11813,,
14756,14237,,
12707,12637,,
11171,14211,,
13974,12633,,
13604,13481,,
12594,11407,,
11042,10950,,
10974,11008,,
13689,13672,,
13369,12021,,
10974,125,,
11550,11900,,
14344,255,,
13965,11251,,
16041,20,,
16009,14216,,
14221,14293,,
11814,14417,,
12938,10923,,
11914,12794,,
13501,261,,
13401,11138,,
14219,14223,,
14533,15981,,
16262,14516,,
14284,14115,,
12407,14179,,
16183,13697,,
10926,13974,,
11717,12589,,
28,42,,
16150,12921,,
12492,10861,,
11156,45,,
11077,12327,,
13417,120,,
13941,148,,
14237,14242,,
13386,14452,,
11758,11828,,
16222,16223,,
16175,13856,,
16263,11526,,
11900,11550,,
129,14210,,
14227,14218,,
12794,11915,,
13206,75,,
14227,14224,,
14224,14223,,
11041,14313,,
192,12574,,
13974,14294,,
10859,16263,,
13875,11275,,
14205,14204,,
11149,11610,,
11163,11180,,
28,10860,,
170,13490,,
14235,14240,,
14452,13385,,
14203,14516,,
13500,14307,,
13890,12095,,
14938,14143,,
244,11146,,
82,85,,
12490,15963,,
10860,14516,,
15966,48,,
11172,16175,,
14230,14755,,
14756,16013,,
14217,14516,,
11759,11827,,
12489,14508,,
16204,12492,,
11383,11414,,
10860,15933,,
14545,14559,,
10864,14017,,
12451,12398,,
57,14299,,
16180,10861,,
10926,12633,,
13257,13872,,
14756,14242,,
13346,13206,,
12608,12766,,
11157,15101,,
16262,14200,,
229,240,,
28,14516,,
13038,200,,
13890,12153,,
14555,14143,,
13511,13823,,
14756,14236,,
14823,14294,,
42,10860,,
155,12050,,
16133,16134,,
14200,15933,,
