route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
18918,1,2207513,SWAN/29TH ST,,0,452113,55942,0,0
18918,1,2207508,SWAN/29TH ST,,0,452118,55942,0,0
18918,1,2207509,SWAN/29TH ST,,0,452117,55942,0,0
18918,1,2207510,SWAN/29TH ST,,0,452116,55942,0,0
18918,1,2207511,SWAN/29TH ST,,0,452115,55942,0,0
18918,1,2207512,SWAN/29TH ST,,0,452114,55942,0,0
18918,1,2207507,SWAN/29TH ST,,0,452119,55942,0,0
18918,1,2207506,SWAN/29TH ST,,0,452113,55942,0,0
18918,1,2207505,SWAN/29TH ST,,0,452118,55942,0,0
18918,1,2207504,SWAN/29TH ST,,0,452117,55942,0,0
18918,1,2207503,SWAN/29TH ST,,0,452116,55942,0,0
18918,1,2207502,SWAN/29TH ST,,0,452115,55942,0,0
18918,1,2207501,SWAN/29TH ST,,0,452114,55942,0,0
18918,1,2207500,SWAN/29TH ST,,0,452119,55942,0,0
18918,1,2207499,SWAN/29TH ST,,0,452113,55942,0,0
18918,1,2207498,SWAN/29TH ST,,0,452118,55942,0,0
18918,1,2207497,SWAN/29TH ST,,0,452117,55942,0,0
18918,1,2207488,SWAN/29TH ST,,0,452116,55942,0,0
18918,1,2207496,SWAN/29TH ST,,0,452115,55942,0,0
18918,1,2207495,SWAN/29TH ST,,0,452114,55942,0,0
18918,1,2207494,SWAN/29TH ST,,0,452119,55942,0,0
18918,1,2207493,SWAN/29TH ST,,0,452113,55942,0,0
18918,1,2207492,SWAN/29TH ST,,0,452118,55942,0,0
18918,1,2207491,SWAN/29TH ST,,0,452120,55942,0,0
18918,1,2207490,SWAN/29TH ST,,0,452117,55942,0,0
18918,1,2207489,SWAN/29TH ST,,0,452118,55942,0,0
18918,1,2207485,SWAN/29TH ST,,0,452117,55942,0,0
18918,1,2207486,SWAN/29TH ST,,0,452118,55942,0,0
18918,1,2207487,SWAN/29TH ST,,0,452117,55942,0,0
18918,1,2207529,DOWNTOWN,,1,452115,55943,0,0
18918,1,2207543,DOWNTOWN,,1,452114,55943,0,0
18918,1,2207528,DOWNTOWN,,1,452119,55943,0,0
18918,1,2207542,DOWNTOWN,,1,452113,55943,0,0
18918,1,2207527,DOWNTOWN,,1,452118,55943,0,0
18918,1,2207541,DOWNTOWN,,1,452117,55943,0,0
18918,1,2207526,DOWNTOWN,,1,452116,55943,0,0
18918,1,2207540,DOWNTOWN,,1,452115,55943,0,0
18918,1,2207525,DOWNTOWN,,1,452114,55943,0,0
18918,1,2207539,DOWNTOWN,,1,452119,55943,0,0
18918,1,2207524,DOWNTOWN,,1,452113,55943,0,0
18918,1,2207538,DOWNTOWN,,1,452118,55943,0,0
18918,1,2207523,DOWNTOWN,,1,452117,55943,0,0
18918,1,2207537,DOWNTOWN,,1,452116,55943,0,0
18918,1,2207522,DOWNTOWN,,1,452115,55943,0,0
18918,1,2207536,DOWNTOWN,,1,452114,55943,0,0
18918,1,2207514,DOWNTOWN,,1,452119,55943,0,0
18918,1,2207535,DOWNTOWN,,1,452113,55943,0,0
18918,1,2207521,DOWNTOWN,,1,452118,55943,0,0
18918,1,2207534,DOWNTOWN,,1,452120,55943,0,0
18918,1,2207520,DOWNTOWN,,1,452117,55943,0,0
18918,1,2207533,DOWNTOWN,,1,452116,55943,0,0
18918,1,2207519,DOWNTOWN,,1,452115,55943,0,0
18918,1,2207532,DOWNTOWN,,1,452114,55943,0,0
18918,1,2207518,DOWNTOWN,,1,452113,55943,0,0
18918,1,2207531,DOWNTOWN,,1,452118,55943,0,0
18918,1,2207530,DOWNTOWN,,1,452117,55943,0,0
18918,1,2207517,DOWNTOWN,,1,452118,55943,0,0
18918,1,2207516,DOWNTOWN,,1,452117,55943,0,0
18918,1,2207515,DOWNTOWN,,1,452118,55943,0,0
18919,1,2207629,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207628,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207612,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207611,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207610,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207609,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207608,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207607,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207606,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207605,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207604,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207603,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207627,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207626,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207625,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207624,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207623,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207622,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207621,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207620,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207619,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207618,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207617,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207616,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207615,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207614,10 LACHOLLA/RUTHRAUFF,,0,452127,55944,0,0
18919,1,2207630,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207613,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207602,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207601,10 LACHOLLA/RUTHRAUFF,,0,452126,55944,0,0
18919,1,2207600,10 LACHOLLA/RUTHRAUFF,,0,452125,55944,0,0
18919,1,2207660,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207659,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207648,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207647,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207646,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207645,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207644,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207643,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207642,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207641,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207640,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207639,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207638,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207637,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207636,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207635,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207634,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207658,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207657,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207656,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207655,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207654,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207653,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207652,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207651,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207650,10 DOWNTOWN,,1,452127,55945,0,0
18919,1,2207661,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207649,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207633,10 DOWNTOWN,,1,452125,55945,0,0
18919,1,2207632,10 DOWNTOWN,,1,452126,55945,0,0
18919,1,2207631,10 DOWNTOWN,,1,452125,55945,0,0
18928,1,2207780,DODGE/RIVER,,0,452154,55963,0,0
18928,1,2207781,DODGE/RIVER,,0,452159,55964,0,0
18928,1,2207753,DODGE/RIVER,,0,452152,55963,0,0
18928,1,2207754,DODGE/RIVER,,0,452157,55964,0,0
18928,1,2207755,DODGE/RIVER,,0,452151,55963,0,0
18928,1,2207756,DODGE/RIVER,,0,452155,55964,0,0
18928,1,2207757,DODGE/RIVER,,0,452160,55963,0,0
18928,1,2207758,DODGE/RIVER,,0,452153,55964,0,0
18928,1,2207759,DODGE/RIVER,,0,452158,55963,0,0
18928,1,2207776,DODGE/RIVER,,0,452150,55964,0,0
18928,1,2207760,DODGE/RIVER,,0,452156,55963,0,0
18928,1,2207761,DODGE/RIVER,,0,452159,55964,0,0
18928,1,2207762,DODGE/RIVER,,0,452154,55963,0,0
18928,1,2207763,DODGE/RIVER,,0,452157,55964,0,0
18928,1,2207764,DODGE/RIVER,,0,452152,55963,0,0
18928,1,2207771,DODGE/RIVER,,0,452155,55964,0,0
18928,1,2207770,DODGE/RIVER,,0,452151,55963,0,0
18928,1,2207769,DODGE/RIVER,,0,452153,55964,0,0
18928,1,2207768,DODGE/RIVER,,0,452160,55963,0,0
18928,1,2207767,DODGE/RIVER,,0,452150,55964,0,0
18928,1,2207766,DODGE/RIVER,,0,452158,55963,0,0
18928,1,2207782,DODGE/RIVER,,0,452159,55964,0,0
18928,1,2207783,DODGE/RIVER,,0,452156,55963,0,0
18928,1,2207784,DODGE/RIVER,,0,452157,55964,0,0
18928,1,2207785,DODGE/RIVER,,0,452154,55963,0,0
18928,1,2207786,DODGE/RIVER,,0,452155,55964,0,0
18928,1,2207787,DODGE/RIVER,,0,452152,55963,0,0
18928,1,2207788,DODGE/RIVER,,0,452153,55964,0,0
18928,1,2207789,DODGE/RIVER,,0,452151,55963,0,0
18928,1,2207790,DODGE/RIVER,,0,452150,55964,0,0
18928,1,2207791,DODGE/RIVER,,0,452160,55963,0,0
18928,1,2207792,DODGE/RIVER,,0,452159,55964,0,0
18928,1,2207793,DODGE/RIVER,,0,452158,55963,0,0
18928,1,2207794,DODGE/RIVER,,0,452157,55964,0,0
18928,1,2207795,DODGE/RIVER,,0,452156,55963,0,0
18928,1,2207796,DODGE/RIVER,,0,452155,55964,0,0
18928,1,2207797,DODGE/RIVER,,0,452154,55963,0,0
18928,1,2207798,DODGE/RIVER,,0,452153,55964,0,0
18928,1,2207799,DODGE/RIVER,,0,452152,55963,0,0
18928,1,2207800,DODGE/RIVER,,0,452150,55964,0,0
18928,1,2207801,DODGE/RIVER,,0,452151,55963,0,0
18928,1,2207742,DODGE/RIVER,,0,452159,55964,0,0
18928,1,2207743,DODGE/RIVER,,0,452160,55963,0,0
18928,1,2207744,DODGE/RIVER,,0,452157,55964,0,0
18928,1,2207745,DODGE/RIVER,,0,452158,55963,0,0
18928,1,2207746,DODGE/RIVER,,0,452155,55964,0,0
18928,1,2207747,DODGE/RIVER,,0,452156,55963,0,0
18928,1,2207748,DODGE/RIVER,,0,452153,55964,0,0
18928,1,2207749,DODGE/RIVER,,0,452154,55963,0,0
18928,1,2207750,DODGE/RIVER,,0,452150,55964,0,0
18928,1,2207751,DODGE/RIVER,,0,452152,55963,0,0
18928,1,2207774,DODGE/RIVER,,0,452159,55964,0,0
18928,1,2207752,DODGE/RIVER,,0,452160,55963,0,0
18928,1,2207779,DODGE/RIVER,,0,452155,55964,0,0
18928,1,2207802,DODGE/RIVER,,0,452150,55963,0,0
18928,1,2207778,DODGE/RIVER,,0,452159,55964,0,0
18928,1,2207765,DODGE/RIVER,,0,452160,55963,0,0
18928,1,2207741,DODGE/RIVER,,0,452155,55964,0,0
18928,1,2207777,DODGE/RIVER,,0,452150,55963,0,0
18928,1,2207772,DODGE/RIVER,,0,452159,55964,0,0
18928,1,2207740,DODGE/RIVER,,0,452160,55963,0,0
18928,1,2207773,DODGE/RIVER,,0,452155,55964,0,0
18928,1,2207775,DODGE/RIVER,,0,452150,55963,0,0
18928,1,2207836,LAOS CENTER,,1,452160,55965,0,0
18928,1,2207835,AIRPORT,,1,452155,55966,0,0
18928,1,2207842,LAOS CENTER,,1,452158,55965,0,0
18928,1,2207843,AIRPORT,,1,452153,55966,0,0
18928,1,2207844,LAOS CENTER,,1,452156,55965,0,0
18928,1,2207845,AIRPORT,,1,452150,55966,0,0
18928,1,2207846,LAOS CENTER,,1,452154,55965,0,0
18928,1,2207847,AIRPORT,,1,452159,55966,0,0
18928,1,2207848,LAOS CENTER,,1,452152,55965,0,0
18928,1,2207849,AIRPORT,,1,452157,55966,0,0
18928,1,2207850,LAOS CENTER,,1,452151,55965,0,0
18928,1,2207851,AIRPORT,,1,452155,55966,0,0
18928,1,2207852,LAOS CENTER,,1,452160,55965,0,0
18928,1,2207853,AIRPORT,,1,452153,55966,0,0
18928,1,2207854,LAOS CENTER,,1,452158,55965,0,0
18928,1,2207855,AIRPORT,,1,452150,55966,0,0
18928,1,2207856,LAOS CENTER,,1,452156,55965,0,0
18928,1,2207857,AIRPORT,,1,452159,55966,0,0
18928,1,2207858,LAOS CENTER,,1,452154,55965,0,0
18928,1,2207859,AIRPORT,,1,452157,55966,0,0
18928,1,2207860,LAOS CENTER,,1,452152,55965,0,0
18928,1,2207861,AIRPORT,,1,452155,55966,0,0
18928,1,2207862,LAOS CENTER,,1,452151,55965,0,0
18928,1,2207863,AIRPORT,,1,452153,55966,0,0
18928,1,2207864,LAOS CENTER,,1,452160,55965,0,0
18928,1,2207865,AIRPORT,,1,452150,55966,0,0
18928,1,2207804,LAOS CENTER,,1,452158,55965,0,0
18928,1,2207805,AIRPORT,,1,452159,55966,0,0
18928,1,2207806,LAOS CENTER,,1,452156,55965,0,0
18928,1,2207807,AIRPORT,,1,452157,55966,0,0
18928,1,2207808,LAOS CENTER,,1,452154,55965,0,0
18928,1,2207809,AIRPORT,,1,452155,55966,0,0
18928,1,2207811,LAOS CENTER,,1,452152,55965,0,0
18928,1,2207812,AIRPORT,,1,452153,55966,0,0
18928,1,2207813,LAOS CENTER,,1,452151,55965,0,0
18928,1,2207814,AIRPORT,,1,452150,55966,0,0
18928,1,2207815,LAOS CENTER,,1,452160,55965,0,0
18928,1,2207816,AIRPORT,,1,452159,55966,0,0
18928,1,2207817,LAOS CENTER,,1,452158,55965,0,0
18928,1,2207818,AIRPORT,,1,452157,55966,0,0
18928,1,2207819,LAOS CENTER,,1,452156,55965,0,0
18928,1,2207820,AIRPORT,,1,452155,55966,0,0
18928,1,2207821,LAOS CENTER,,1,452154,55965,0,0
18928,1,2207822,AIRPORT,,1,452153,55966,0,0
18928,1,2207823,LAOS CENTER,,1,452152,55965,0,0
18928,1,2207824,AIRPORT,,1,452150,55966,0,0
18928,1,2207825,LAOS CENTER,,1,452151,55965,0,0
18928,1,2207826,AIRPORT,,1,452159,55966,0,0
18928,1,2207834,LAOS CENTER,,1,452160,55965,0,0
18928,1,2207833,AIRPORT,,1,452157,55966,0,0
18928,1,2207832,LAOS CENTER,,1,452158,55965,0,0
18928,1,2207831,AIRPORT,,1,452155,55966,0,0
18928,1,2207830,LAOS CENTER,,1,452156,55965,0,0
18928,1,2207829,AIRPORT,,1,452153,55966,0,0
18928,1,2207828,LAOS CENTER,,1,452150,55965,0,0
18928,1,2207803,AIRPORT,,1,452159,55966,0,0
18928,1,2207810,LAOS CENTER,,1,452160,55965,0,0
18928,1,2207837,AIRPORT,,1,452155,55966,0,0
18928,1,2207841,LAOS CENTER,,1,452150,55965,0,0
18928,1,2207838,AIRPORT,,1,452159,55966,0,0
18928,1,2207827,LAOS CENTER,,1,452160,55965,0,0
18928,1,2207839,AIRPORT,,1,452155,55966,0,0
18928,1,2207840,LAOS CENTER,,1,452150,55965,0,0
18930,1,2214923,DOWNTOWN,,0,452172,55971,0,0
18930,1,2214898,DOWNTOWN,,0,452180,55971,0,0
18930,1,2214897,DOWNTOWN,,0,452172,55971,0,0
18930,1,2214896,DOWNTOWN,,0,452176,55971,0,0
18930,1,2214895,DOWNTOWN,,0,452509,55971,0,0
