aNode	bNode	num_stop	stop_seq	col1	col2	col3	dist	col4	col5	col6	col7	col8	col9	col10
5340	5353	1.0	101	-1	-1	-1	4461	-1	-1	-1	0	0	0	0
5353	5360	1.0	102	-1	-1	-1	1833	-1	-1	-1	0	0	0	0
5360	5361	1.0	103	-1	-1	-1	3337	-1	-1	-1	0	0	0	0
5361	5363	1.0	104	-1	-1	-1	1544	-1	-1	-1	0	0	0	0
5363	5365	1.0	105	-1	-1	-1	1121	-1	-1	-1	0	0	0	0
5365	5366	1.0	106	-1	-1	-1	868	-1	-1	-1	0	0	0	0
5366	5367	1.0	107	-1	-1	-1	1021	-1	-1	-1	0	0	0	0
5367	5368	1.0	108	-1	-1	-1	1388	-1	-1	-1	0	0	0	0
5368	5369	1.0	109	-1	-1	-1	2453	-1	-1	-1	0	0	0	0
5369	5370	1.0	110	-1	-1	-1	1240	-1	-1	-1	0	0	0	0
5370	5371	1.0	111	-1	-1	-1	1071	-1	-1	-1	0	0	0	0
5371	5372	1.0	112	-1	-1	-1	1459	-1	-1	-1	0	0	0	0
5372	5373	1.0	113	-1	-1	-1	1897	-1	-1	-1	0	0	0	0
5373	5374	1.0	114	-1	-1	-1	1007	-1	-1	-1	0	0	0	0
5374	5375	1.0	115	-1	-1	-1	1980	-1	-1	-1	0	0	0	0
5375	5376	1.0	116	-1	-1	-1	1501	-1	-1	-1	0	0	0	0
5376	5378	1.0	117	-1	-1	-1	1728	-1	-1	-1	0	0	0	0
5378	5380	1.0	118	-1	-1	-1	1192	-1	-1	-1	0	0	0	0
5380	5382	1.0	119	-1	-1	-1	1240	-1	-1	-1	0	0	0	0
5382	5384	1.0	120	-1	-1	-1	1778	-1	-1	-1	0	0	0	0
5384	5386	1.0	121	-1	-1	-1	3329	-1	-1	-1	0	0	0	0
5386	5388	1.0	122	-1	-1	-1	2764	-1	-1	-1	0	0	0	0
5388	5390	1.0	123	-1	-1	-1	1488	-1	-1	-1	0	0	0	0
5390	5391	1.0	124	-1	-1	-1	1259	-1	-1	-1	0	0	0	0
5391	5393	1.0	125	-1	-1	-1	746	-1	-1	-1	0	0	0	0
5393	5395	1.0	126	-1	-1	-1	5021	-1	-1	-1	0	0	0	0
5395	5396	1.0	127	-1	-1	-1	1946	-1	-1	-1	0	0	0	0
5396	5398	1.0	128	-1	-1	-1	1847	-1	-1	-1	0	0	0	0
5398	5399	1.0	129	-1	-1	-1	828	-1	-1	-1	0	0	0	0
5399	5401	1.0	130	-1	-1	-1	1683	-1	-1	-1	0	0	0	0
5401	5402	1.0	131	-1	-1	-1	1347	-1	-1	-1	0	0	0	0
5402	5403	1.0	132	-1	-1	-1	1336	-1	-1	-1	0	0	0	0
5403	5404	1.0	133	-1	-1	-1	1572	-1	-1	-1	0	0	0	0
5404	5405	1.0	134	-1	-1	-1	1127	-1	-1	-1	0	0	0	0
5405	5406	1.0	135	-1	-1	-1	1627	-1	-1	-1	0	0	0	0
5406	5407	1.0	136	-1	-1	-1	1284	-1	-1	-1	0	0	0	0
5407	5408	1.0	137	-1	-1	-1	1163	-1	-1	-1	0	0	0	0
5408	5346	1.0	138	-1	-1	-1	1424	-1	-1	-1	0	0	0	0
