aNode	bNode	num_stop	stop_seq	col1	col2	col3	dist	col4	col5	col6	col7	col8	col9	col10
5346	5410	1.0	201	-1	-1	-1	1548	-1	-1	-1	0	0	0	0
5410	5411	1.0	202	-1	-1	-1	1404	-1	-1	-1	0	0	0	0
5411	5412	1.0	203	-1	-1	-1	1643	-1	-1	-1	0	0	0	0
5412	5413	1.0	204	-1	-1	-1	997	-1	-1	-1	0	0	0	0
5413	5414	1.0	205	-1	-1	-1	1660	-1	-1	-1	0	0	0	0
5414	5415	1.0	206	-1	-1	-1	1358	-1	-1	-1	0	0	0	0
5415	5416	1.0	207	-1	-1	-1	1379	-1	-1	-1	0	0	0	0
5416	5417	1.0	208	-1	-1	-1	1388	-1	-1	-1	0	0	0	0
5417	5419	1.0	209	-1	-1	-1	1462	-1	-1	-1	0	0	0	0
5419	5397	1.0	210	-1	-1	-1	1163	-1	-1	-1	0	0	0	0
5397	5420	1.0	211	-1	-1	-1	1874	-1	-1	-1	0	0	0	0
5420	5422	1.0	212	-1	-1	-1	5029	-1	-1	-1	0	0	0	0
5422	5424	1.0	213	-1	-1	-1	1536	-1	-1	-1	0	0	0	0
5424	5426	1.0	214	-1	-1	-1	1264	-1	-1	-1	0	0	0	0
5426	5428	1.0	215	-1	-1	-1	1405	-1	-1	-1	0	0	0	0
5428	5430	1.0	216	-1	-1	-1	2665	-1	-1	-1	0	0	0	0
5430	5432	1.0	217	-1	-1	-1	1303	-1	-1	-1	0	0	0	0
5432	5433	1.0	218	-1	-1	-1	1346	-1	-1	-1	0	0	0	0
5433	5434	1.0	219	-1	-1	-1	1638	-1	-1	-1	0	0	0	0
5434	5380	1.0	220	-1	-1	-1	1743	-1	-1	-1	0	0	0	0
5380	5436	1.0	221	-1	-1	-1	1334	-1	-1	-1	0	0	0	0
5436	5438	1.0	222	-1	-1	-1	1922	-1	-1	-1	0	0	0	0
5438	5439	1.0	223	-1	-1	-1	1390	-1	-1	-1	0	0	0	0
5439	5440	1.0	224	-1	-1	-1	1298	-1	-1	-1	0	0	0	0
5440	5441	1.0	225	-1	-1	-1	1752	-1	-1	-1	0	0	0	0
5441	5442	1.0	226	-1	-1	-1	1302	-1	-1	-1	0	0	0	0
5442	5443	1.0	227	-1	-1	-1	1111	-1	-1	-1	0	0	0	0
5443	5444	1.0	228	-1	-1	-1	1405	-1	-1	-1	0	0	0	0
5444	5445	1.0	229	-1	-1	-1	1061	-1	-1	-1	0	0	0	0
5445	5449	1.0	230	-1	-1	-1	3942	-1	-1	-1	0	0	0	0
5449	5450	1.0	231	-1	-1	-1	394	-1	-1	-1	0	0	0	0
5450	5452	1.0	232	-1	-1	-1	1244	-1	-1	-1	0	0	0	0
5452	5453	1.0	233	-1	-1	-1	1211	-1	-1	-1	0	0	0	0
5453	5454	1.0	234	-1	-1	-1	1660	-1	-1	-1	0	0	0	0
5454	5455	1.0	235	-1	-1	-1	942	-1	-1	-1	0	0	0	0
5455	5456	1.0	236	-1	-1	-1	1253	-1	-1	-1	0	0	0	0
5456	5355	1.0	237	-1	-1	-1	8674	-1	-1	-1	0	0	0	0
5355	5340	1.0	238	-1	-1	-1	1025	-1	-1	-1	0	0	0	0
