stop_seq,CDS_LTC,LTC_CDS
1,4510,1488
2,1848,1440
3,3369,1617
4,1496,948
5,1083,1710
6,840,1332
7,1040,1362
8,1418,1395
9,2353,1441
10,1297,1152
11,1070,1848
12,1453,4976
13,1852,1500
14,1004,1263
15,1959,1345
16,1487,2635
17,1726,1303
18,1214,1296
19,1260,1677
20,1858,1680
21,3190,1300
22,2760,1909
23,1467,1372
24,1286,1280
25,561,1729
26,5127,1261
27,1865,1099
28,1825,1395
29,892,1047
30,1624,3886
31,1336,390
32,1296,1234
33,1549,1198
34,1129,1657
35,1629,922
36,1270,1254
37,1178,9467
38,1609,1267
