trip_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
5132,5.37,5.4,5.41,5.44,5.45,5.46,5.46,5.47,5.48,5.49,5.5,5.51,5.52,5.53,5.53,5.54,5.55,5.56,5.57,5.58,5.59,6.1,6.2,6.3,6.4,6.4,6.8,6.1,6.11,6.12,6.13,6.14,6.14,6.15,6.16,6.17,6.18,6.19,6.2
5127,6.35,6.38,6.39,6.42,6.43,6.44,6.44,6.45,6.46,6.47,6.48,6.49,6.5,6.51,6.51,6.52,6.53,6.54,6.55,6.56,6.57,6.59,7,7.1,7.2,7.2,7.7,7.8,7.1,7.11,7.12,7.13,7.14,7.15,7.16,7.17,7.18,7.19,7.2
5131,6.7,6.1,6.11,6.14,6.15,6.16,6.16,6.17,6.18,6.19,6.2,6.21,6.22,6.23,6.23,6.24,6.25,6.26,6.27,6.28,6.29,6.31,6.32,6.33,6.34,6.34,6.38,6.4,6.41,6.42,6.43,6.44,6.44,6.45,6.46,6.47,6.48,6.49,6.5
5125,7.35,7.38,7.39,7.42,7.43,7.44,7.44,7.45,7.46,7.47,7.48,7.49,7.5,7.51,7.51,7.52,7.53,7.54,7.55,7.56,7.57,7.59,8,8.1,8.2,8.2,8.7,8.8,8.1,8.11,8.12,8.13,8.14,8.15,8.16,8.17,8.18,8.19,8.2
5126,7.5,7.8,7.9,7.12,7.13,7.14,7.14,7.15,7.16,7.17,7.18,7.19,7.2,7.21,7.21,7.22,7.23,7.24,7.25,7.26,7.27,7.29,7.3,7.31,7.32,7.32,7.37,7.38,7.4,7.41,7.42,7.43,7.44,7.45,7.46,7.47,7.48,7.49,7.5
5123,8.35,8.38,8.39,8.42,8.43,8.44,8.44,8.45,8.46,8.47,8.48,8.49,8.5,8.51,8.51,8.52,8.53,8.54,8.55,8.56,8.57,8.59,9,9.1,9.2,9.2,9.7,9.8,9.1,9.11,9.12,9.13,9.14,9.15,9.16,9.17,9.18,9.19,9.2
5124,8.5,8.8,8.9,8.12,8.13,8.14,8.14,8.15,8.16,8.17,8.18,8.19,8.2,8.21,8.21,8.22,8.23,8.24,8.25,8.26,8.27,8.29,8.3,8.31,8.32,8.32,8.37,8.38,8.4,8.41,8.42,8.43,8.44,8.45,8.46,8.47,8.48,8.49,8.5
5121,9.35,9.38,9.39,9.42,9.43,9.44,9.44,9.45,9.46,9.47,9.48,9.49,9.5,9.51,9.51,9.52,9.53,9.54,9.55,9.56,9.57,9.59,10,10.1,10.2,10.2,10.7,10.8,10.1,10.11,10.12,10.13,10.14,10.15,10.16,10.17,10.18,10.19,10.2
5122,9.5,9.8,9.9,9.12,9.13,9.14,9.14,9.15,9.16,9.17,9.18,9.19,9.2,9.21,9.21,9.22,9.23,9.24,9.25,9.26,9.27,9.29,9.3,9.31,9.32,9.32,9.37,9.38,9.4,9.41,9.42,9.43,9.44,9.45,9.46,9.47,9.48,9.49,9.5
5119,10.35,10.38,10.39,10.42,10.43,10.44,10.44,10.45,10.46,10.47,10.48,10.49,10.5,10.51,10.51,10.52,10.53,10.54,10.55,10.56,10.57,10.59,11,11.1,11.2,11.2,11.7,11.8,11.1,11.11,11.12,11.13,11.14,11.15,11.16,11.17,11.18,11.19,11.2
