trip_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
5132	5.37	5.40	5.41	5.43	5.44	5.45	5.46	5.46	5.48	5.49	5.50	5.50	5.51	5.52	5.53	5.54	5.55	5.56	5.57	5.57	5.59	6.00	6.02	6.03	6.04	6.04	6.08	6.09	6.11	6.11	6.12	6.13	6.14	6.15	6.16	6.17	6.18	6.18
5131	6.07	6.10	6.11	6.13	6.14	6.15	6.16	6.16	6.18	6.19	6.20	6.20	6.21	6.22	6.23	6.24	6.25	6.26	6.27	6.27	6.29	6.30	6.32	6.33	6.34	6.34	6.38	6.39	6.41	6.41	6.42	6.43	6.44	6.45	6.46	6.47	6.48	6.48
5127	6.35	6.38	6.39	6.41	6.42	6.43	6.44	6.44	6.46	6.47	6.48	6.48	6.49	6.50	6.51	6.52	6.53	6.54	6.55	6.55	6.57	6.58	7.00	7.01	7.02	7.02	7.06	7.08	7.10	7.10	7.11	7.12	7.13	7.14	7.15	7.16	7.17	7.18
5126	7.05	7.08	7.09	7.11	7.12	7.13	7.14	7.14	7.16	7.17	7.18	7.18	7.19	7.20	7.21	7.22	7.23	7.24	7.25	7.25	7.27	7.28	7.30	7.31	7.32	7.32	7.36	7.38	7.40	7.40	7.41	7.42	7.43	7.44	7.45	7.46	7.47	7.48
5125	7.35	7.38	7.39	7.41	7.42	7.43	7.44	7.44	7.46	7.47	7.48	7.48	7.49	7.50	7.51	7.52	7.53	7.54	7.55	7.55	7.57	7.58	8.00	8.01	8.02	8.02	8.06	8.08	8.10	8.10	8.11	8.12	8.13	8.14	8.15	8.16	8.17	8.18
5124	8.05	8.08	8.09	8.11	8.12	8.13	8.14	8.14	8.16	8.17	8.18	8.18	8.19	8.20	8.21	8.22	8.23	8.24	8.25	8.25	8.27	8.28	8.30	8.31	8.32	8.32	8.36	8.38	8.40	8.40	8.41	8.42	8.43	8.44	8.45	8.46	8.47	8.48
5123	8.35	8.38	8.39	8.41	8.42	8.43	8.44	8.44	8.46	8.47	8.48	8.48	8.49	8.50	8.51	8.52	8.53	8.54	8.55	8.55	8.57	8.58	9.00	9.01	9.02	9.02	9.06	9.08	9.10	9.10	9.11	9.12	9.13	9.14	9.15	9.16	9.17	9.18
5122	9.05	9.08	9.09	9.11	9.12	9.13	9.14	9.14	9.16	9.17	9.18	9.18	9.19	9.20	9.21	9.22	9.23	9.24	9.25	9.25	9.27	9.28	9.30	9.31	9.32	9.32	9.36	9.38	9.40	9.40	9.41	9.42	9.43	9.44	9.45	9.46	9.47	9.48
5121	9.35	9.38	9.39	9.41	9.42	9.43	9.44	9.44	9.46	9.47	9.48	9.48	9.49	9.50	9.51	9.52	9.53	9.54	9.55	9.55	9.57	9.58	10.00	10.01	10.02	10.02	10.06	10.08	10.10	10.10	10.11	10.12	10.13	10.14	10.15	10.16	10.17	10.18
5120	10.05	10.08	10.09	10.11	10.12	10.13	10.14	10.14	10.16	10.17	10.18	10.18	10.19	10.20	10.21	10.22	10.23	10.24	10.25	10.25	10.27	10.28	10.30	10.31	10.32	10.32	10.36	10.38	10.40	10.40	10.41	10.42	10.43	10.44	10.45	10.46	10.47	10.48
5119	10.35	10.38	10.39	10.41	10.42	10.43	10.44	10.44	10.46	10.47	10.48	10.48	10.49	10.50	10.51	10.52	10.53	10.54	10.55	10.55	10.57	10.58	11.00	11.01	11.02	11.02	11.06	11.08	11.10	11.10	11.11	11.12	11.13	11.14	11.15	11.16	11.17	11.18
5118	11.05	11.08	11.09	11.11	11.12	11.13	11.14	11.14	11.16	11.17	11.18	11.18	11.19	11.20	11.21	11.22	11.23	11.24	11.25	11.25	11.27	11.28	11.30	11.31	11.32	11.32	11.36	11.38	11.40	11.40	11.41	11.42	11.43	11.44	11.45	11.46	11.47	11.48
5117	11.35	11.38	11.39	11.41	11.42	11.43	11.44	11.44	11.46	11.47	11.48	11.48	11.49	11.50	11.51	11.52	11.53	11.54	11.55	11.55	11.57	11.58	12.00	12.01	12.02	12.02	12.06	12.08	12.10	12.10	12.11	12.12	12.13	12.14	12.15	12.16	12.17	12.18
5116	12.05	12.08	12.09	12.11	12.12	12.13	12.14	12.14	12.16	12.17	12.18	12.18	12.19	12.20	12.21	12.22	12.23	12.24	12.25	12.25	12.27	12.28	12.30	12.31	12.32	12.32	12.36	12.38	12.40	12.40	12.41	12.42	12.43	12.44	12.45	12.46	12.47	12.48
5115	12.35	12.38	12.39	12.41	12.42	12.43	12.44	12.44	12.46	12.47	12.48	12.48	12.49	12.50	12.51	12.52	12.53	12.54	12.55	12.55	12.57	12.58	13.00	13.01	13.02	13.02	13.06	13.08	13.10	13.10	13.11	13.12	13.13	13.14	13.15	13.16	13.17	13.18
5114	13.05	13.08	13.09	13.11	13.12	13.13	13.14	13.14	13.16	13.17	13.18	13.18	13.19	13.20	13.21	13.22	13.23	13.24	13.25	13.25	13.27	13.28	13.30	13.31	13.32	13.32	13.36	13.38	13.40	13.40	13.41	13.42	13.43	13.44	13.45	13.46	13.47	13.48
5113	13.35	13.38	13.39	13.41	13.42	13.43	13.44	13.44	13.46	13.47	13.48	13.48	13.49	13.50	13.51	13.52	13.53	13.54	13.55	13.55	13.57	13.58	14.00	14.01	14.02	14.02	14.06	14.08	14.10	14.10	14.11	14.12	14.13	14.14	14.15	14.16	14.17	14.18
5112	14.05	14.08	14.09	14.11	14.12	14.13	14.14	14.14	14.16	14.17	14.18	14.18	14.19	14.20	14.21	14.22	14.23	14.24	14.25	14.25	14.27	14.28	14.30	14.31	14.32	14.32	14.36	14.38	14.40	14.40	14.41	14.42	14.43	14.44	14.45	14.46	14.47	14.48
5111	14.35	14.38	14.39	14.41	14.42	14.43	14.44	14.44	14.46	14.47	14.48	14.48	14.49	14.50	14.51	14.52	14.53	14.54	14.55	14.55	14.57	14.58	15.00	15.01	15.02	15.02	15.06	15.08	15.10	15.10	15.11	15.12	15.13	15.14	15.15	15.16	15.17	15.18
5110	15.05	15.08	15.09	15.11	15.12	15.13	15.14	15.14	15.16	15.17	15.18	15.18	15.19	15.20	15.21	15.22	15.23	15.24	15.25	15.25	15.27	15.28	15.30	15.31	15.32	15.32	15.36	15.38	15.40	15.40	15.41	15.42	15.43	15.44	15.45	15.46	15.47	15.48
5109	15.34	15.37	15.38	15.40	15.41	15.42	15.43	15.43	15.45	15.46	15.47	15.47	15.48	15.49	15.50	15.51	15.52	15.53	15.54	15.54	15.56	15.57	15.59	16.00	16.01	16.01	16.06	16.08	16.10	16.10	16.11	16.12	16.13	16.14	16.15	16.16	16.17	16.18
5108	16.04	16.07	16.08	16.10	16.11	16.12	16.13	16.13	16.15	16.16	16.17	16.17	16.18	16.19	16.20	16.21	16.22	16.23	16.24	16.24	16.26	16.27	16.29	16.30	16.31	16.31	16.36	16.38	16.40	16.40	16.41	16.42	16.43	16.44	16.45	16.46	16.47	16.48
5107	16.34	16.37	16.38	16.40	16.41	16.42	16.43	16.43	16.45	16.46	16.47	16.47	16.48	16.49	16.50	16.51	16.52	16.53	16.54	16.54	16.56	16.57	16.59	17.00	17.01	17.01	17.06	17.08	17.10	17.10	17.11	17.12	17.13	17.14	17.15	17.16	17.17	17.18
5106	17.04	17.07	17.08	17.10	17.11	17.12	17.13	17.13	17.15	17.16	17.17	17.17	17.18	17.19	17.20	17.21	17.22	17.23	17.24	17.24	17.26	17.27	17.29	17.30	17.31	17.31	17.36	17.38	17.40	17.40	17.41	17.42	17.43	17.44	17.45	17.46	17.47	17.48
5105	17.36	17.39	17.40	17.42	17.43	17.44	17.45	17.45	17.47	17.48	17.49	17.49	17.50	17.51	17.52	17.53	17.54	17.55	17.56	17.56	17.58	17.59	18.01	18.02	18.03	18.03	18.07	18.09	18.11	18.11	18.12	18.13	18.14	18.15	18.16	18.17	18.18	18.18
5104	18.06	18.09	18.10	18.12	18.13	18.14	18.15	18.15	18.17	18.18	18.19	18.19	18.20	18.21	18.22	18.23	18.24	18.25	18.26	18.26	18.28	18.29	18.31	18.32	18.33	18.33	18.37	18.39	18.41	18.41	18.42	18.43	18.44	18.45	18.46	18.47	18.48	18.48
