trip_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
5101	5.35	5.35	5.36	5.37	5.38	5.39	5.40	5.41	5.42	5.43	5.43	5.45	5.49	5.51	5.51	5.52	5.54	5.55	5.55	5.57	5.58	5.59	6.00	6.01	6.02	6.04	6.05	6.05	6.06	6.07	6.10	6.10	6.11	6.12	6.13	6.13	6.14	6.20
5100	6.05	6.05	6.06	6.07	6.08	6.09	6.10	6.11	6.12	6.13	6.13	6.15	6.19	6.21	6.21	6.22	6.24	6.25	6.25	6.27	6.28	6.29	6.30	6.31	6.32	6.34	6.35	6.35	6.36	6.37	6.40	6.40	6.41	6.42	6.43	6.43	6.44	6.50
5099	6.35	6.35	6.36	6.37	6.38	6.39	6.40	6.41	6.42	6.43	6.43	6.45	6.49	6.51	6.51	6.52	6.54	6.55	6.55	6.57	6.58	6.59	7.00	7.01	7.02	7.04	7.05	7.05	7.06	7.07	7.10	7.10	7.11	7.12	7.13	7.13	7.14	7.20
5098	7.05	7.06	7.07	7.08	7.08	7.10	7.11	7.11	7.12	7.14	7.15	7.16	7.21	7.23	7.23	7.24	7.26	7.27	7.27	7.29	7.30	7.31	7.32	7.33	7.34	7.36	7.37	7.37	7.38	7.39	7.42	7.42	7.43	7.44	7.45	7.45	7.46	7.52
5097	7.35	7.36	7.37	7.38	7.38	7.40	7.41	7.41	7.42	7.44	7.45	7.46	7.51	7.53	7.53	7.54	7.56	7.57	7.57	7.59	8.00	8.01	8.02	8.03	8.04	8.06	8.07	8.07	8.08	8.09	8.12	8.12	8.13	8.14	8.15	8.15	8.16	8.22
5096	8.05	8.06	8.07	8.08	8.08	8.10	8.11	8.11	8.12	8.14	8.15	8.16	8.21	8.23	8.23	8.24	8.26	8.27	8.27	8.29	8.30	8.31	8.32	8.33	8.34	8.36	8.37	8.37	8.38	8.39	8.42	8.42	8.43	8.44	8.45	8.45	8.46	8.52
5095	8.35	8.36	8.37	8.38	8.38	8.40	8.41	8.41	8.42	8.44	8.45	8.46	8.51	8.53	8.53	8.54	8.56	8.57	8.57	8.59	9.00	9.01	9.02	9.03	9.04	9.06	9.07	9.07	9.08	9.09	9.12	9.12	9.13	9.14	9.15	9.15	9.16	9.22
5094	9.05	9.06	9.07	9.08	9.08	9.10	9.11	9.11	9.12	9.14	9.15	9.16	9.21	9.23	9.23	9.24	9.26	9.27	9.27	9.29	9.30	9.31	9.32	9.33	9.34	9.36	9.37	9.37	9.38	9.39	9.42	9.42	9.43	9.44	9.45	9.45	9.46	9.52
5093	9.35	9.36	9.37	9.38	9.38	9.40	9.41	9.41	9.42	9.44	9.45	9.46	9.51	9.53	9.53	9.54	9.56	9.57	9.57	9.59	10.00	10.01	10.02	10.03	10.04	10.06	10.07	10.07	10.08	10.09	10.12	10.12	10.13	10.14	10.15	10.15	10.16	10.22
5092	10.05	10.06	10.07	10.08	10.08	10.10	10.11	10.11	10.12	10.14	10.15	10.16	10.21	10.23	10.23	10.24	10.26	10.27	10.27	10.29	10.30	10.31	10.32	10.33	10.34	10.36	10.37	10.37	10.38	10.39	10.42	10.42	10.43	10.44	10.45	10.45	10.46	10.52
5091	10.35	10.36	10.37	10.38	10.38	10.40	10.41	10.41	10.42	10.44	10.45	10.46	10.51	10.53	10.53	10.54	10.56	10.57	10.57	10.59	11.00	11.01	11.02	11.03	11.04	11.06	11.07	11.07	11.08	11.09	11.12	11.12	11.13	11.14	11.15	11.15	11.16	11.22
5090	11.05	11.06	11.07	11.08	11.08	11.10	11.11	11.11	11.12	11.14	11.15	11.16	11.21	11.23	11.23	11.24	11.26	11.27	11.27	11.29	11.30	11.31	11.32	11.33	11.34	11.36	11.37	11.37	11.38	11.39	11.42	11.42	11.43	11.44	11.45	11.45	11.46	11.52
5089	11.35	11.36	11.37	11.38	11.38	11.40	11.41	11.41	11.42	11.44	11.45	11.46	11.51	11.53	11.53	11.54	11.56	11.57	11.57	11.59	12.00	12.01	12.02	12.03	12.04	12.06	12.07	12.07	12.08	12.09	12.12	12.12	12.13	12.14	12.15	12.15	12.16	12.22
5088	12.05	12.06	12.07	12.08	12.08	12.10	12.11	12.11	12.12	12.14	12.15	12.16	12.21	12.23	12.23	12.24	12.26	12.27	12.27	12.29	12.30	12.31	12.32	12.33	12.34	12.36	12.37	12.37	12.38	12.39	12.42	12.42	12.43	12.44	12.45	12.45	12.46	12.52
5081	12.35	12.36	12.37	12.38	12.38	12.40	12.41	12.41	12.42	12.44	12.45	12.46	12.51	12.53	12.53	12.54	12.56	12.57	12.57	12.59	13.00	13.01	13.02	13.03	13.04	13.06	13.07	13.07	13.08	13.09	13.12	13.12	13.13	13.14	13.15	13.15	13.16	13.22
5080	13.05	13.06	13.07	13.08	13.08	13.10	13.11	13.11	13.12	13.14	13.15	13.16	13.21	13.23	13.23	13.24	13.26	13.27	13.27	13.29	13.30	13.31	13.32	13.33	13.34	13.36	13.37	13.37	13.38	13.39	13.42	13.42	13.43	13.44	13.45	13.45	13.46	13.52
5079	13.35	13.36	13.37	13.38	13.38	13.40	13.41	13.41	13.42	13.44	13.45	13.46	13.51	13.53	13.53	13.54	13.56	13.57	13.57	13.59	14.00	14.01	14.02	14.03	14.04	14.06	14.07	14.07	14.08	14.09	14.12	14.12	14.13	14.14	14.15	14.15	14.16	14.22
5078	14.05	14.06	14.07	14.08	14.08	14.10	14.11	14.11	14.12	14.14	14.15	14.16	14.21	14.23	14.23	14.24	14.26	14.27	14.27	14.29	14.30	14.31	14.32	14.33	14.34	14.36	14.37	14.37	14.38	14.39	14.42	14.42	14.43	14.44	14.45	14.45	14.46	14.52
5077	14.35	14.36	14.37	14.38	14.38	14.40	14.41	14.41	14.42	14.44	14.45	14.46	14.51	14.53	14.53	14.54	14.56	14.57	14.57	14.59	15.00	15.01	15.02	15.03	15.04	15.06	15.07	15.07	15.08	15.09	15.12	15.12	15.13	15.14	15.15	15.15	15.16	15.22
5076	15.05	15.06	15.07	15.08	15.08	15.10	15.11	15.11	15.12	15.14	15.15	15.16	15.21	15.23	15.23	15.24	15.26	15.27	15.27	15.29	15.30	15.31	15.32	15.33	15.34	15.36	15.37	15.37	15.38	15.39	15.42	15.42	15.43	15.44	15.45	15.45	15.46	15.52
5087	15.35	15.36	15.37	15.38	15.38	15.40	15.41	15.41	15.42	15.44	15.45	15.46	15.51	15.53	15.53	15.54	15.56	15.57	15.57	15.59	16.00	16.01	16.02	16.03	16.04	16.06	16.07	16.07	16.08	16.09	16.12	16.12	16.13	16.14	16.15	16.15	16.16	16.22
5086	16.05	16.06	16.07	16.08	16.09	16.10	16.11	16.12	16.13	16.15	16.16	16.18	16.23	16.25	16.25	16.26	16.28	16.29	16.29	16.31	16.32	16.33	16.34	16.35	16.36	16.38	16.39	16.39	16.40	16.41	16.44	16.44	16.45	16.46	16.47	16.47	16.48	16.54
5085	16.35	16.36	16.37	16.38	16.39	16.40	16.41	16.42	16.43	16.45	16.46	16.48	16.53	16.55	16.55	16.56	16.58	16.59	16.59	17.01	17.02	17.03	17.04	17.05	17.06	17.08	17.09	17.09	17.10	17.11	17.14	17.14	17.15	17.16	17.17	17.17	17.18	17.24
5084	17.05	17.06	17.07	17.08	17.09	17.10	17.11	17.12	17.13	17.15	17.16	17.18	17.23	17.25	17.25	17.26	17.28	17.29	17.29	17.31	17.32	17.33	17.34	17.35	17.36	17.38	17.39	17.39	17.40	17.41	17.44	17.44	17.45	17.46	17.47	17.47	17.48	17.54
5083	17.35	17.36	17.37	17.38	17.39	17.40	17.41	17.42	17.43	17.45	17.46	17.48	17.53	17.55	17.55	17.56	17.58	17.59	17.59	18.01	18.02	18.03	18.04	18.05	18.06	18.08	18.09	18.09	18.10	18.11	18.14	18.14	18.15	18.16	18.17	18.17	18.18	18.24
5082	18.05	18.06	18.07	18.08	18.08	18.10	18.11	18.11	18.12	18.14	18.15	18.16	18.21	18.23	18.23	18.24	18.26	18.27	18.27	18.29	18.30	18.31	18.32	18.33	18.34	18.36	18.37	18.37	18.38	18.39	18.42	18.42	18.43	18.44	18.45	18.45	18.46	18.52
